Symbol,marketCap,trailingPE,forwardPE,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
TRMB,-0.25012964623289424,0.33112428586613707,0.06346997991625815,0.043783301877187014,-0.30753901513180065,-0.2912931398329092,-0.045506800398943094,-0.1133839168992577,1.5780685767788645,-1.170370778133352,0.6838333890925666,-0.3485165273843255,0.07316734647108722,-0.4047265446883934
OMC,-0.26119340340193553,-0.2858065211867061,-0.42039456043751183,0.041077733583328196,-0.06618806873173833,-0.08151648130985167,-0.04550655910180718,-0.06666469766452747,-0.022593830202289077,1.0961641969117695,-0.9322350489091408,-0.1796168394909518,-0.5312265494041476,-0.3840739788500298
CTRA,-0.25086595475323875,-0.27612235096570115,-0.36696003485124407,0.023553773920031492,-0.26795918078455333,-0.31538409885057483,-0.04573955561624362,-0.06683438005884247,-1.6535453365877437,1.758589891624097,-0.11300527551968068,0.13839552254593934,-0.2085496919999459,0.8294965161918055
HRL,-0.26640266029226894,-0.23291161148523576,-0.3075071629932826,0.02535913279337112,-0.29893470331718164,-0.33910442772950716,-0.04595093190730236,-0.018226024511325437,-1.5929671377791412,0.6935132844395702,-1.0258882573745611,-0.12018538846520249,-0.5332542632127203,-0.530571418187903
ARE,-0.271405607870723,-0.4019059117515093,-0.21526469778549417,0.016565979858531043,-0.46413749015786604,-0.27424415345117664,-0.04194607508314695,0.6665555072411945,0.7905519922670304,1.3689277182639044,-1.5467534500912257,-0.3138200381974541,0.5425155026953805,-1.9378758439833845
BLDR,-0.2648525991626809,-0.17085329481970246,-0.38739812454972783,0.03948505848883697,-0.13115062293211163,0.0300431904488768,-0.04477605615254778,-0.1133839168992577,1.503510793629815,-1.170370778133352,-1.1750690047141754,-0.3124580607559764,-0.5392022237178669,-0.7065112697244122
JBHT,-0.2564637939583761,-0.08535739804160043,-0.017646472636448397,0.0555802903796402,-0.1092096278048332,-0.13562848156491603,-0.04484989307613679,-0.07907413676876453,0.6134772572880386,-0.5923718876490661,-0.4109977132932624,-0.35725368621714154,-0.49026673047097913,-0.6380505151460305
GEN,-0.2564141441916895,-0.10684443601289315,-0.36010013296972887,0.07846852636019307,-0.3165735425371506,-0.310936537185775,-0.046474932767648434,-0.05447018959308941,-0.10647133624496942,0.22591867640733868,-0.3712828994893486,-0.17712382568724042,0.08695580036938158,0.031549975876345955
DGX,-0.24793732051373427,-0.17565863063237722,-0.1586602924074948,0.037922057126711185,0.00866944405544675,-0.040005905771720175,-0.043504661543428476,-0.07156286278042051,-0.9708756346292606,0.03758195928324561,0.24948133326187744,-0.3884835205807923,-0.3719834249709052,-0.33948158755889185
KEY,-0.2487906001216992,-0.16558727511248236,-0.3463903783442303,0.021881783095259368,-0.32345699198884575,-0.34392261953304026,-0.04589692960828529,0.002565719215992843,0.35252501626636557,1.9793984565282061,-0.10006972226886758,1.4232747817657652,0.024637395985914034,0.3168983313781451
NI,-0.24735310155110307,-0.16035402204711482,-0.037521704573651435,0.03292138711267622,-0.27613327700844137,-0.3328037153710408,-0.0457379630551466,-0.04759239654352138,-0.8823382671397645,0.9792655449037115,0.4019204965791314,-0.11669424328504935,0.11885849762425864,0.033836765173327496
MOH,-0.2761296446439382,-0.3043219804324973,-0.49287984588496514,0.028591515877745693,0.3407958800997392,0.5511491655079208,-0.04269443402046382,-0.1133839168992577,-0.9941749418633383,-1.170370778133352,-1.6958318153912633,-0.34706928168791834,-0.6811421903179555,-0.8304266576083772
PNR,-0.2534469844663368,-0.1088842888102184,-0.06042013601544614,0.056537998698490036,-0.18879951209005877,-0.22198530388977894,-0.045544732308708424,-0.08517139080448355,0.28961688673435537,-0.34558584452094404,-0.041450923977169395,-0.3654536251776133,-0.07039479117585956,0.1545363627546288
J,-0.251264673875908,0.02439758383001485,-0.029487299800026994,0.05859691400211621,-0.19009015886225158,-0.1552718789177818,-0.04511932545809592,-0.0779994793423376,-0.4186820531816136,-0.6832930614331112,0.16074739230729462,-0.38935061361450096,-0.44863100693495306,-0.680356117140187
DG,-0.2435193851522665,-0.20396074208296738,-0.22176675491732759,0.03781626763706509,-0.12555782025260925,-0.17120897488331446,-0.0449035092997364,-0.06394977935548746,-1.5650079690982477,-0.20920408384487657,0.4424551218135065,-0.22846756033321752,-0.5697531117670287,-0.7733283944955885
BALL,-0.26410159788689164,-0.15053205947431966,-0.29065558131354224,0.0352266618666229,-0.27097068991967,-0.2709084822025768,-0.04573670831003986,-0.06858776480009748,0.2546679258832382,-0.3910464314129666,-0.7711944835037687,-0.26736884967451124,-0.4740450200023975,-0.6572023540696004
NWS,-0.2582500459872028,-0.01618958237412398,0.06534654366210735,0.030049181507185954,-0.32173612962592196,-0.40174092117543775,-0.04591126265815846,-0.08644966597287253,0.4690215524367553,-0.6053606267610726,-0.08950653155927565,-0.35910703877743755,-0.39780298080006415,0.019973105060377562
NWSA,-0.25845459797158754,-0.06841396155268513,0.005602008181850395,0.027462181879982565,-0.32173612962592196,-0.3624541264697061,-0.04591126265815846,-0.08644966597287253,0.4690215524367553,-0.585877518093063,-0.29267600118586284,-0.16219545982246936,-0.4336259247515151,0.019973105060377562
UDR,-0.2643286698710215,0.4258339575416497,1.2617374648808348,0.045054848238536206,-0.3389447532551599,-0.38432130465497183,-0.04618865784560267,0.3262518772356076,-0.2905358633941852,1.232545957587837,-0.7828611348992532,-0.26732584221843475,0.7109509297274859,-0.3634928751771969
HOLX,-0.25573263574138144,-0.07067948381726885,-0.22847637048873637,0.044465969360095094,-0.254192281881163,-0.22680349569331204,-0.04560853127144351,-0.1133839168992577,-0.8217600683311618,-1.170370778133352,-0.33137735817535846,-0.2553119034943468,-0.1198710081050334,0.007967461251224921
JBL,-0.2396131292696292,-0.0007891098044418367,-0.060947145666059334,0.16532174174890682,-0.10318660953459993,-0.030740152303387242,-0.045980852752155424,-0.10726403854429666,0.662405802479602,-0.9170903654492267,1.8881058766903844,-0.3491340129082014,-0.5763769768750329,-0.8201361200643938
GPC,-0.2541052217822449,-0.17258914000734032,-0.2575583623868178,0.046378449401117294,-0.10791898103264039,-0.08781719366831806,-0.044999642078683656,-0.03374631316741732,-0.539838450798819,0.5766146324315122,0.12192747389551355,-0.36964319352467523,-0.5582627335184501,-0.7375973117302537
IEX,-0.2646215047471751,-0.11541574760298141,-0.1209062395128268,0.041972742554507884,-0.08554777031463102,-0.08596404297465152,-0.04407904524575294,-0.06327104977822745,0.13118159754262537,-0.404035170524973,-0.8297988690942094,-0.4034607924937058,-0.131631748194755,0.020902113212276207
MAS,-0.2631663439822652,-0.2263073223638552,-0.26238661502004684,-1.6602140464282933,-0.18965994327152064,-0.23792239985531155,-0.046678346253222085,-0.07808997888173752,0.4597018295431241,-0.09230543183681877,-0.7475832988174604,-0.29322357335154725,-0.40118250381435205,-0.19977312540859782
KIM,-0.26187694295779,-0.13737811745114747,0.12707014939401295,0.0239183932849886,-0.3221663452166529,-0.3757968114641056,-0.045912903478682654,0.022904982214550958,0.7882220615436228,1.446860152935943,-0.5733845754489517,-0.15046674415777753,0.7339316862246431,1.0405957531694043
ALGN,-0.27045291173021746,-0.1125365945202054,-0.2865102723093555,0.03593400978247374,-0.13588299443015203,-0.021474398835054313,-0.04402147174912439,-0.1133839168992577,1.6875753207790305,-1.170370778133352,-1.1521054512540023,-0.3530112545386523,-0.3838793459811983,-0.2987481174753273
DLTR,-0.2463935398994533,-0.19124469820405227,-0.20325449360198622,0.0674111695949077,-0.13588299443015203,-0.17713905710304756,-0.04581001437992987,-0.1133839168992577,-0.2835460712239618,-1.170370778133352,1.2260230253159998,-0.11622922516622235,-0.49540360545269657,-2.106740941132357
EXPD,-0.2554199952461669,-0.18658206973944555,-0.04097903212259269,0.08529778563109292,-0.09415208212925001,-0.2023419065369131,-0.04587617805459688,-0.08570306230667056,0.22437882647893714,-0.4235182791929827,-0.15735237083064732,-0.3704427140796527,-0.4998645758315566,-0.4370989056737869
EG,-0.26333130578837816,-0.15034067641749962,-0.5194775849256823,0.01938859712779861,0.21990529910434264,2.061837610984922,-0.028993823940527446,-0.04605394283506538,-1.1828993304593698,0.2194243068513356,-0.4766953818995563,-0.4294502131338702,-0.6044946083539077,-0.7545338521072389
MRNA,-0.27116626267393074,-0.4019059117515093,-0.7204306389023052,0.02111191733452261,-0.6809661478862642,-0.7241891418734238,-0.04549415642902131,-0.1133839168992577,2.393544329971592,-1.170370778133352,-1.5517554666816435,0.3562854815166603,-0.4201078326943638,-7.7175930821593965
LNT,-0.2543545212682013,-0.18078031543793716,-0.09886455670408764,0.03452358814405507,-0.2184843878504942,-0.2820273863645763,-0.045318347335795976,-0.04442499184964136,-1.0244640412676398,0.868861262451657,0.2719902227021536,-0.3116801185947595,0.22686805316089761,0.4570356379837888
AVY,-0.26261777934591374,-0.1886971456925236,-0.20527821490272086,0.07123436298409036,0.021145696186644306,-0.011838015227988073,-0.04528422792077804,-0.06664207334528548,-0.062202652500221584,-0.13127164917283796,-0.5936535977578662,-0.40447505166617626,-0.4337611056720867,-0.41087229092403105
BAX,-0.27202622527433873,-0.4019059117515093,-0.47686143316016155,0.023543351319932647,-0.38798933059848806,-0.2949994412202424,-0.04597226257411696,0.23467992247929295,-0.9382566045015516,0.3493116979713997,-1.546141323463285,0.05590057654195136,-0.47688381933439933,-1.19881414235763
TPR,-0.24310124884777218,0.9957501305714701,-0.052217282242508746,0.26539859895411483,-0.32259656080738386,-0.2253209751383788,-0.046461275349755825,0.07974858431007623,1.4103135646935032,1.4663432616039522,3.3280272266316513,-0.19077712501135496,-0.19705931375136732,-0.790979563674097
VTRS,-0.26561983524294136,-0.4019059117515093,-0.5399428656282265,0.018718772939731232,-0.48392740733148965,-0.30278267413364207,-0.046015599539726726,0.9725834067167474,-0.21131821879832016,-0.5923718876490661,-0.4613422932026121,0.24757846168844522,-0.44160159906523444,-2.733606985705227
CF,-0.2621564797085746,-0.2826643295750589,-0.28235730050636476,0.03811555487755252,-0.029619743519607684,-0.17269149543824774,-0.04518143534087961,-0.08373474879504847,-0.14375022781949412,0.1999411981833258,-0.262195876382614,-0.2633038237523375,-0.31426117188686914,0.46546824497857325
FFIV,-0.26057176810556326,-0.1742317942787095,-0.2157293444506857,0.05039304931340994,0.149349942224467,0.16902949247387075,-0.0436550861779559,-0.1133839168992577,0.19408972707463557,-1.170370778133352,0.09171519794665352,-0.40702115279848206,-0.10121604106616462,0.6245430254498443
DPZ,-0.2622364767193068,-0.1473403083168706,-0.03781209548195872,-0.024329890126021436,0.3773642053118699,0.2520506435501338,-0.05210772484894643,-0.0688931897162166,0.32922570903228765,-0.4365070183049891,-0.3512178576508798,-0.40622088558628106,-0.1475830968221936,-0.10880171722588956
AKAM,-0.2689790264185536,-0.11804666103822291,-0.34868136958248663,0.03539706930673985,-0.23612322707046313,-0.15415998850158188,-0.0452093775492182,-0.1133839168992577,-0.5211990050115566,-1.170370778133352,-0.8844205847966498,-0.3152549640496726,-0.1924631624519359,-0.23457512855986853
RL,-0.24980362571289347,-0.13098102344698093,-0.0031256545070955967,0.08579121969216093,0.18118589593855722,0.08081951945534123,-0.04465709666454326,-0.08277321296483155,1.5058407243532226,0.2778736328553644,1.4750489716482102,-0.40982089338962785,-0.31426117188686914,-0.19827237705515444
TXT,-0.26119154779514026,-0.21327034862929595,-0.32799637337029236,0.02948822347824303,-0.16126571428327802,-0.15341872822411523,-0.04460724467626388,-0.11140428896558269,0.08458298307446947,-1.0989327130173168,-0.24105370026136014,-0.3525079329042572,-0.53055064480129,-0.5625864683456431
SWKS,-0.26739445287455976,-0.07322605548524203,-0.3274114287183414,0.030764054883585162,-0.2498901259738535,-0.16453763238611474,-0.044821999127225384,0.012803223672997894,0.7369635856286514,0.3687948066394095,-0.5039000821419694,-0.2506608263174086,-0.3064206784937214,-0.27194984113240883
EVRG,-0.2527600683145105,-0.17309968524570452,-0.13738295389329314,0.02855712997798745,-0.20127576422125623,-0.2520063451271776,-0.044571967034993575,-0.03118975943699149,-0.998834803310154,1.362433348707901,0.5804549696720998,-0.29213868040572893,0.05572900771736209,0.04326977102337583
EPAM,-0.2728175491431878,-0.15361653221520363,-0.26133842899126636,0.035164830575746896,-0.055862894554195575,0.012994204067144178,-0.04348212439093432,-0.1133839168992577,1.5734087153320488,-1.170370778133352,-0.5797049353299527,-0.395547719238522,-0.4720173061938248,-0.4123729964001751
DOC,-0.2653064880727556,-0.4019059117515093,1.231679778621551,0.026904494846868507,-0.3604555327917074,-0.39247516770710483,-0.04613262865064394,0.45694127996134043,0.2010795192448592,2.271645086548351,-0.7317894800881933,0.13812799526274136,0.39381649006671626,-1.0748272708694846
APTV,-0.25302351767977477,0.26578947747136383,-0.3338936792387334,0.029760408604617664,-0.3010857812708364,-0.14304108433958235,-0.044591656881283984,-0.1133839168992577,1.3264360586508226,-0.41702390963697944,1.179405630360933,-0.2899397002166516,-0.5281173882310027,-0.8730895775764036
RVTY,-0.2687396718618279,0.1146287238313289,-0.16678251444630487,0.025298363885639774,-0.2744124146455176,-0.2104957695890461,-0.043577340240765115,-0.09706047056615462,0.012355130648827841,-1.0210002783452783,-0.8868291130168664,-0.36241786623810335,-0.05511934715127864,-0.3744980486689201
AMCR,-0.25193831296221536,-0.1371589689767577,-0.3807065390931519,0.02618071501047568,-0.34410734034393126,-0.3724611402155057,-0.046414656743097665,0.06601562253018216,-0.607406441777645,1.8300279567401325,-0.8099875597554381,1.3504320976877764,-0.3968567143560636,-0.7343815142813734
REG,-0.26460792816378764,-0.06119651586713911,0.2255540305148016,0.029802137475711872,-0.2640872404679748,-0.3239085920414412,-0.044920834434094864,0.032950179957999,0.28262709456413176,1.4078939355999238,-0.3185241778719456,-0.37194498841343543,0.8528908963275744,0.886952097278464
POOL,-0.27131221679530454,-0.1471877278622443,-0.07260255431048222,0.08015949113091458,0.1145024793752602,0.04412713572074282,-0.04487561535082499,-0.06285250213468238,0.28961688673435537,-0.4754732356410083,-0.8907208842947221,-0.41464407505659434,-0.4052379314314974,-0.42144869142257013
INCY,-0.2478324003403582,-0.21635128602198003,-0.20589455316638072,0.05319041855896277,-0.10404704071606181,-0.174174015993181,-0.04551572839297183,-0.1133839168992577,-0.5654676887563047,-1.170370778133352,0.5123990377823588,-0.3117252913567843,-0.2570796424851191,0.7870479898665876
BXP,-0.2648673270178758,-0.4019059117515093,0.3566718626706105,0.033009773050027794,-0.4129418348608831,-0.33243308523230747,-0.045136988408444656,22.05844894026085,0.5948378115007762,2.1417576954282866,-0.5113486960883886,-0.31208831609887433,0.5577909467199614,-1.4149157166299424
KMX,-0.2795271167771387,-0.27123634885446574,-0.353763449111737,0.020654306892278148,-0.2111707228080681,-0.26201335887297716,-0.044633883880068545,-0.1133839168992577,0.6670656639264175,-1.170370778133352,-1.3873858750303125,-0.1267409642222499,-0.5721863683373161,-0.8460054168402797
CAG,-0.27449951981409254,-0.2966176159819229,-0.4740881549105398,0.020092613875701902,-0.2817260796879437,-0.30204141385617544,-0.04576069324534949,-0.023904734297147266,-2.1964191951417593,1.6157137613920265,-1.3196254633555597,0.41217777730278216,-0.5048662698927026,-0.4471750710136113
HST,-0.26772930683170076,-0.21695142215740937,-0.2036005127175277,0.0274218931940241,-0.3174339737186125,-0.36578979771830594,-0.046194255939155826,-0.01710612636492624,0.9303478356714981,1.745601152512091,-0.41770377962784344,0.15656453009236249,-0.3202091323920157,-0.18462307485393034
JKHY,-0.26838709253082266,-0.14171910467906984,-0.01256094617347996,0.06173210530481947,-0.08941971063120956,-0.16750267349598127,-0.04524837116638155,-0.07241127248956358,-0.4676105983731773,-0.3975408009689698,-0.7163990061321552,-0.38080624167680555,-0.0766131135221492,0.3934343821236582
SWK,-0.2699262399780738,-0.175557398954654,-0.3240160134019511,0.02211966814112699,-0.22192611257634182,-0.1982649750108466,-0.04383393561509373,0.004036299966722864,0.4853310675006096,0.8818500015636634,-1.008512004972635,-0.3087191000433269,-0.5370393289887226,-0.7522470556640409
DVA,-0.27419278660684104,-0.2694827299193231,-0.3644244173785061,-0.13481208099129657,0.059004668170967764,0.01595924517701072,-0.0470490269134098,-0.1133839168992577,0.33621550120251126,-1.170370778133352,-0.6981765987997429,-0.3936873481003246,-0.46444717464182006,-0.5635154764975419
